2024-08-19 15:35:57 UTC | CLUSTER | INFO | (pkg/util/log/log.go:826 in func1) | Starting to load the configuration
2024-08-19 15:35:57 UTC | CLUSTER | INFO | (pkg/util/log/log.go:826 in func1) | Loading proxy settings
2024-08-19 15:35:57 UTC | CLUSTER | DEBUG | (pkg/util/log/log.go:791 in func1) | 'use_proxy_for_cloud_metadata' is enabled: adding cloud provider URL to the no_proxy list
2024-08-19 15:35:57 UTC | CLUSTER | INFO | (pkg/util/log/log.go:826 in func1) | Starting to resolve secrets
2024-08-19 15:35:57 UTC | CLUSTER | WARN | (pkg/util/log/log.go:871 in func1) | Agent configuration relax permissions constraint on the secret backend cmd, Group can read and exec
2024-08-19 15:35:57 UTC | CLUSTER | INFO | (pkg/util/log/log.go:826 in func1) | Finished resolving secrets
2024-08-19 15:35:57 UTC | CLUSTER | DEBUG | (pkg/util/log/log.go:786 in func1) | FIPS mode is disabled
2024-08-19 15:35:57 UTC | CLUSTER | INFO | (pkg/util/log/log.go:831 in func1) | 2 Features detected from environment: kubernetes,kube_orchestratorexplorer
2024-08-19 15:35:57 UTC | CLUSTER | INFO | (comp/core/tagger/taggerimpl/tagger.go:160 in newTaggerClient) | TaggerClient is created, defaultTagger type:  *local.Tagger
2024-08-19 15:35:57 UTC | CLUSTER | INFO | (comp/forwarder/defaultforwarder/default_forwarder.go:242 in NewDefaultForwarder) | Retry queue storage on disk is disabled
2024-08-19 15:35:57 UTC | CLUSTER | DEBUG | (pkg/util/hostname/providers.go:154 in GetWithProvider) | trying to get hostname from 'configuration' provider
2024-08-19 15:35:57 UTC | CLUSTER | DEBUG | (pkg/util/hostname/providers.go:161 in GetWithProvider) | unable to get the hostname from 'configuration' provider: hostname is empty
2024-08-19 15:35:57 UTC | CLUSTER | DEBUG | (pkg/util/hostname/providers.go:154 in GetWithProvider) | trying to get hostname from 'hostnameFile' provider
2024-08-19 15:35:57 UTC | CLUSTER | DEBUG | (pkg/util/hostname/providers.go:161 in GetWithProvider) | unable to get the hostname from 'hostnameFile' provider: 'hostname_file' configuration is not enabled
2024-08-19 15:35:57 UTC | CLUSTER | DEBUG | (pkg/util/hostname/providers.go:154 in GetWithProvider) | trying to get hostname from 'fargate' provider
2024-08-19 15:35:57 UTC | CLUSTER | DEBUG | (pkg/util/hostname/providers.go:161 in GetWithProvider) | unable to get the hostname from 'fargate' provider: agent is not runnning on Fargate
2024-08-19 15:35:57 UTC | CLUSTER | DEBUG | (pkg/util/hostname/providers.go:154 in GetWithProvider) | trying to get hostname from 'gce' provider
2024-08-19 15:35:57 UTC | CLUSTER | DEBUG | (pkg/config/setup/config.go:2230 in IsCloudProviderEnabled) | cloud_provider_metadata is set to [aws gcp azure alibaba oracle ibm] in agent configuration, trying endpoints for GCP Cloud Provider
2024-08-19 15:35:57 UTC | CLUSTER | DEBUG | (pkg/util/http/transport.go:144 in 1) | URL 'http://169.254.169.254/computeMetadata/v1/instance/hostname' matches no_proxy list item '169.254.169.254': not using any proxy
2024-08-19 15:35:58 UTC | CLUSTER | DEBUG | (pkg/util/hostname/providers.go:161 in GetWithProvider) | unable to get the hostname from 'gce' provider: unable to retrieve hostname from GCE: GCE metadata API error: Get "http://169.254.169.254/computeMetadata/v1/instance/hostname": context deadline exceeded (Client.Timeout exceeded while awaiting headers)
2024-08-19 15:35:58 UTC | CLUSTER | DEBUG | (pkg/util/hostname/providers.go:154 in GetWithProvider) | trying to get hostname from 'azure' provider
2024-08-19 15:35:58 UTC | CLUSTER | DEBUG | (pkg/util/hostname/providers.go:161 in GetWithProvider) | unable to get the hostname from 'azure' provider: azure_hostname_style is set to 'os'
2024-08-19 15:35:58 UTC | CLUSTER | DEBUG | (pkg/util/hostname/providers.go:154 in GetWithProvider) | trying to get hostname from 'fqdn' provider
2024-08-19 15:35:58 UTC | CLUSTER | DEBUG | (pkg/util/hostname/providers.go:161 in GetWithProvider) | unable to get the hostname from 'fqdn' provider: FQDN hostname is not usable
2024-08-19 15:35:58 UTC | CLUSTER | DEBUG | (pkg/util/hostname/providers.go:154 in GetWithProvider) | trying to get hostname from 'container' provider
2024-08-19 15:35:58 UTC | CLUSTER | DEBUG | (pkg/util/hostname/container.go:34 in callContainerProvider) | GetHostname trying provider 'kube_apiserver' ...
2024-08-19 15:35:58 UTC | CLUSTER | DEBUG | (pkg/util/kubernetes/apiserver/apiserver.go:405 in connect) | Connected to kubernetes apiserver, version v1
2024-08-19 15:35:58 UTC | CLUSTER | INFO | (pkg/util/kubernetes/clustername/clustername.go:78 in getClusterName) | Got cluster name ccdaniele-kind from config
2024-08-19 15:35:58 UTC | CLUSTER | INFO | (pkg/util/kubernetes/clustername/clustername.go:129 in getClusterName) | Using cluster name ccdaniele-kind from the node label
2024-08-19 15:35:58 UTC | CLUSTER | DEBUG | (pkg/util/hostname/providers.go:165 in GetWithProvider) | hostname provider 'container' successfully found hostname 'ccdaniele-kind-worker-ccdaniele-kind'
2024-08-19 15:35:58 UTC | CLUSTER | DEBUG | (pkg/util/hostname/providers.go:154 in GetWithProvider) | trying to get hostname from 'os' provider
2024-08-19 15:35:58 UTC | CLUSTER | DEBUG | (pkg/util/hostname/providers.go:161 in GetWithProvider) | unable to get the hostname from 'os' provider: OS hostname is not usable
2024-08-19 15:35:58 UTC | CLUSTER | DEBUG | (pkg/util/hostname/providers.go:154 in GetWithProvider) | trying to get hostname from 'aws' provider
2024-08-19 15:35:58 UTC | CLUSTER | DEBUG | (pkg/util/hostname/common.go:131 in fromEC2) | Detected a default EC2 hostname: false
2024-08-19 15:35:58 UTC | CLUSTER | DEBUG | (pkg/util/hostname/common.go:132 in fromEC2) | ec2_prioritize_instance_id_as_hostname is set to false
2024-08-19 15:35:58 UTC | CLUSTER | DEBUG | (pkg/util/hostname/providers.go:161 in GetWithProvider) | unable to get the hostname from 'aws' provider: not retrieving hostname from AWS: the host is not an ECS instance and other providers already retrieve non-default hostnames
2024-08-19 15:35:58 UTC | CLUSTER | INFO | (comp/forwarder/defaultforwarder/default_forwarder.go:242 in NewDefaultForwarder) | Retry queue storage on disk is disabled
2024-08-19 15:35:58 UTC | CLUSTER | INFO | (pkg/aggregator/demultiplexer.go:224 in getDogStatsDWorkerAndPipelineCount) | Dogstatsd workers and pipelines count:  10  workers,  1  pipelines
2024-08-19 15:35:58 UTC | CLUSTER | INFO | (pkg/aggregator/demultiplexer.go:142 in GetDogStatsDWorkerAndPipelineCount) | Dogstatsd configured to run with 10 workers and 1 pipelines
2024-08-19 15:35:58 UTC | CLUSTER | DEBUG | (pkg/aggregator/demultiplexer_agent.go:164 in initAgentDemultiplexer) | the Demultiplexer will use 1 pipelines
2024-08-19 15:35:58 UTC | CLUSTER | INFO | (pkg/aggregator/time_sampler.go:54 in NewTimeSampler) | Creating TimeSampler #0
2024-08-19 15:35:58 UTC | CLUSTER | WARN | (pkg/config/model/viper.go:214 in checkKnownKey) | config key runtime_security_config.sbom.enabled is unknown
2024-08-19 15:35:58 UTC | CLUSTER | INFO | (comp/core/workloadmeta/store.go:99 in start) | workloadmeta store initialized successfully
2024-08-19 15:35:58 UTC | CLUSTER | INFO | (comp/forwarder/defaultforwarder/default_forwarder.go:391 in Start) | Forwarder started, sending to 1 endpoint(s) with 1 worker(s) each: "https://7-55-2-app.agent.datadoghq.com" (1 api key(s))
2024-08-19 15:35:58 UTC | CLUSTER | INFO | (comp/forwarder/defaultforwarder/default_forwarder.go:391 in Start) | Forwarder started, sending to 1 endpoint(s) with 1 worker(s) each: "https://orchestrator.datadoghq.com" (1 api key(s))
2024-08-19 15:35:58 UTC | CLUSTER | INFO | (pkg/collector/runner/runner.go:97 in ensureMinWorkers) | Runner 1 added 4 workers (total: 4)
2024-08-19 15:35:58 UTC | CLUSTER | DEBUG | (pkg/collector/scheduler/scheduler.go:164 in func1) | Starting scheduler loop...
2024-08-19 15:35:58 UTC | CLUSTER | DEBUG | (comp/collector/collector/collectorimpl/collector.go:162 in start) | Collector up and running!
2024-08-19 15:35:58 UTC | CLUSTER | DEBUG | (comp/core/healthprobe/impl/healthprobe.go:47 in start) | Health check listening on port 5556
2024-08-19 15:35:58 UTC | CLUSTER | DEBUG | (comp/core/workloadmeta/collectors/internal/kubeapiserver/node.go:42 in newNodeStore) | node reflector enabled
2024-08-19 15:35:58 UTC | CLUSTER | DEBUG | (pkg/collector/worker/worker.go:123 in Run) | Runner 1, worker 1: Ready to process checks...
2024-08-19 15:35:58 UTC | CLUSTER | DEBUG | (comp/core/workloadmeta/collectors/internal/kubeapiserver/pod.go:44 in newPodStore) | pod reflector enabled
2024-08-19 15:35:58 UTC | CLUSTER | INFO | (comp/core/workloadmeta/store.go:569 in startCandidates) | workloadmeta collector "kubeapiserver" started successfully
2024-08-19 15:35:58 UTC | CLUSTER | INFO | (comp/core/workloadmeta/collectors/internal/kubeapiserver/kubeapiserver.go:153 in startReadiness) | Starting readiness waiting for 3 k8s reflectors to sync
2024-08-19 15:35:58 UTC | CLUSTER | WARN | (pkg/config/model/viper.go:214 in checkKnownKey) | config key cluster_agent.max_connections is unknown
2024-08-19 15:35:58 UTC | CLUSTER | DEBUG | (api/v1/install.go:23 in InstallMetadataEndpoints) | Registering metadata endpoints
2024-08-19 15:35:58 UTC | CLUSTER | INFO | (pkg/api/security/security.go:142 in fetchAuthToken) | [/go/src/github.com/DataDog/datadog-agent/pkg/api/util/util.go:54] Creating a new authentication token
2024-08-19 15:35:58 UTC | CLUSTER | INFO | (pkg/api/security/security.go:241 in saveAuthToken) | Saving a new authentication token in /etc/datadog-agent/auth_token
2024-08-19 15:35:58 UTC | CLUSTER | INFO | (pkg/api/security/security.go:256 in saveAuthToken) | Wrote auth token in /etc/datadog-agent/auth_token
2024-08-19 15:35:58 UTC | CLUSTER | INFO | (pkg/api/security/security.go:155 in fetchAuthToken) | Saved a new authentication token to /etc/datadog-agent/auth_token
2024-08-19 15:35:58 UTC | CLUSTER | INFO | (pkg/api/security/security.go:194 in getClusterAgentAuthToken) | Using configured cluster_agent.auth_token
2024-08-19 15:35:58 UTC | CLUSTER | INFO | (pkg/api/security/security.go:74 in GenerateRootCert) | [/go/src/github.com/DataDog/datadog-agent/cmd/cluster-agent/api/server.go:89] Generating root certificate for hosts 127.0.0.1, localhost
2024-08-19 15:35:58 UTC | CLUSTER | DEBUG | (pkg/collector/worker/worker.go:123 in Run) | Runner 1, worker 2: Ready to process checks...
2024-08-19 15:35:58 UTC | CLUSTER | DEBUG | (pkg/collector/worker/worker.go:123 in Run) | Runner 1, worker 4: Ready to process checks...
2024-08-19 15:35:58 UTC | CLUSTER | DEBUG | (pkg/collector/worker/worker.go:123 in Run) | Runner 1, worker 3: Ready to process checks...
2024-08-19 15:35:58 UTC | CLUSTER | INFO | (comp/core/tagger/taggerimpl/collectors/workloadmeta_main.go:138 in stream) | workloadmeta tagger collector started
2024-08-19 15:35:58 UTC | CLUSTER | DEBUG | (pkg/aggregator/demultiplexer_agent.go:259 in run) | Starting forwarders
2024-08-19 15:35:58 UTC | CLUSTER | DEBUG | (pkg/aggregator/demultiplexer_agent.go:267 in run) | not starting the container lifecycle forwarder
2024-08-19 15:35:58 UTC | CLUSTER | DEBUG | (pkg/aggregator/demultiplexer_agent.go:270 in run) | Forwarders started
2024-08-19 15:35:58 UTC | CLUSTER | INFO | (subcommands/start/command.go:273 in start) | Waiting to obtain APIClient connection
2024-08-19 15:35:58 UTC | CLUSTER | INFO | (subcommands/start/command.go:278 in start) | Got APIClient connection
2024-08-19 15:35:58 UTC | CLUSTER | INFO | (subcommands/start/command.go:285 in start) | Hostname is: ccdaniele-kind-worker-ccdaniele-kind
2024-08-19 15:35:58 UTC | CLUSTER | DEBUG | (pkg/util/kubernetes/apiserver/leaderelection/leaderelection.go:140 in init) | Init LeaderEngine with HolderIdentity: "agent-kind-datadog-cluster-agent-75dd97446-nh2pf"
2024-08-19 15:35:58 UTC | CLUSTER | DEBUG | (pkg/util/kubernetes/apiserver/leaderelection/leaderelection.go:148 in init) | LeaderLeaseDuration: 1m0s
2024-08-19 15:35:58 UTC | CLUSTER | DEBUG | (pkg/util/kubernetes/apiserver/leaderelection/leaderelection.go:175 in init) | leader election will use ConfigMaps to store the leader token
2024-08-19 15:35:58 UTC | CLUSTER | DEBUG | (pkg/util/kubernetes/apiserver/leaderelection/leaderelection_engine.go:147 in newElection) | Current registered leader is "agent-kind-datadog-cluster-agent-668c55cbfc-v2mnv", building leader elector "agent-kind-datadog-cluster-agent-75dd97446-nh2pf" as candidate
2024-08-19 15:35:58 UTC | CLUSTER | DEBUG | (pkg/util/kubernetes/apiserver/leaderelection/leaderelection.go:183 in init) | Leader Engine for "agent-kind-datadog-cluster-agent-75dd97446-nh2pf" successfully initialized
2024-08-19 15:35:58 UTC | CLUSTER | INFO | (pkg/util/kubernetes/apiserver/controllers/controllers.go:85 in StartControllers) | "autoscalers" is disabled
2024-08-19 15:35:58 UTC | CLUSTER | INFO | (pkg/util/kubernetes/apiserver/controllers/metadata_controller.go:74 in run) | Starting metadata controller
2024-08-19 15:35:58 UTC | CLUSTER | DEBUG | (pkg/util/kubernetes/apiserver/controllers/metadata_controller.go:154 in addEndpoints) | Adding endpoints default/agent-kind-datadog
2024-08-19 15:35:58 UTC | CLUSTER | DEBUG | (pkg/util/kubernetes/apiserver/controllers/metadata_controller.go:154 in addEndpoints) | Adding endpoints default/agent-kind-datadog-cluster-agent
2024-08-19 15:35:58 UTC | CLUSTER | DEBUG | (pkg/util/kubernetes/apiserver/controllers/metadata_controller.go:154 in addEndpoints) | Adding endpoints default/agent-kind-datadog-cluster-agent-admission-controller
2024-08-19 15:35:58 UTC | CLUSTER | DEBUG | (pkg/util/kubernetes/apiserver/controllers/metadata_controller.go:154 in addEndpoints) | Adding endpoints default/kubernetes
2024-08-19 15:35:58 UTC | CLUSTER | DEBUG | (pkg/util/kubernetes/apiserver/controllers/metadata_controller.go:154 in addEndpoints) | Adding endpoints kube-system/kube-dns
2024-08-19 15:35:58 UTC | CLUSTER | DEBUG | (pkg/util/kubernetes/apiserver/util.go:47 in func1) | Sync done for informer v1/endpoints in 100.195833ms, last resource version: 4694
2024-08-19 15:35:58 UTC | CLUSTER | DEBUG | (pkg/util/kubernetes/apiserver/util.go:47 in func1) | Sync done for informer v1/services in 100.27525ms, last resource version: 4631
2024-08-19 15:35:58 UTC | CLUSTER | DEBUG | (pkg/util/kubernetes/apiserver/controllers/metadata_controller.go:141 in addNode) | Detected node ccdaniele-kind-control-plane
2024-08-19 15:35:58 UTC | CLUSTER | DEBUG | (pkg/util/kubernetes/apiserver/controllers/metadata_controller.go:141 in addNode) | Detected node ccdaniele-kind-worker
2024-08-19 15:35:58 UTC | CLUSTER | DEBUG | (pkg/util/kubernetes/apiserver/controllers/metadata_controller.go:141 in addNode) | Detected node ccdaniele-kind-worker2
2024-08-19 15:35:58 UTC | CLUSTER | INFO | (subcommands/start/command.go:334 in start) | Cluster ID: f5f414af-e9c7-4d66-9ded-567af57bec89, Cluster Name: ccdaniele-kind
2024-08-19 15:35:58 UTC | CLUSTER | INFO | (comp/core/autodiscovery/providers/config_reader.go:171 in read) | Searching for configuration files at: /etc/datadog-agent/conf.d
2024-08-19 15:35:58 UTC | CLUSTER | DEBUG | (comp/core/autodiscovery/providers/config_reader.go:295 in collectEntry) | Found valid configuration in file: /etc/datadog-agent/conf.d/kubernetes_apiserver.d/conf.yaml.default
2024-08-19 15:35:58 UTC | CLUSTER | DEBUG | (comp/core/autodiscovery/providers/config_reader.go:295 in collectEntry) | Found valid configuration in file: /etc/datadog-agent/conf.d/kubernetes_state_core.yaml.default
2024-08-19 15:35:58 UTC | CLUSTER | DEBUG | (comp/core/autodiscovery/providers/config_reader.go:295 in collectEntry) | Found valid configuration in file: /etc/datadog-agent/conf.d/orchestrator.d/conf.yaml.default
2024-08-19 15:35:58 UTC | CLUSTER | DEBUG | (comp/core/autodiscovery/providers/config_reader.go:295 in collectEntry) | Found valid configuration in file: /etc/datadog-agent/conf.d/orchestrator.yaml
2024-08-19 15:35:58 UTC | CLUSTER | INFO | (comp/core/autodiscovery/providers/config_reader.go:171 in read) | Searching for configuration files at: /opt/datadog-agent/bin/dist/conf.d
2024-08-19 15:35:58 UTC | CLUSTER | WARN | (comp/core/autodiscovery/providers/config_reader.go:175 in read) | Skipping, open /opt/datadog-agent/bin/dist/conf.d: no such file or directory
2024-08-19 15:35:58 UTC | CLUSTER | INFO | (comp/core/autodiscovery/providers/config_reader.go:171 in read) | Searching for configuration files at: 
2024-08-19 15:35:58 UTC | CLUSTER | WARN | (comp/core/autodiscovery/providers/config_reader.go:175 in read) | Skipping, open : no such file or directory
2024-08-19 15:35:58 UTC | CLUSTER | DEBUG | (comp/core/autodiscovery/providers/config_reader.go:229 in read) | Ignoring default config file 'orchestrator' because non-default config was found
2024-08-19 15:35:58 UTC | CLUSTER | DEBUG | (comp/core/autodiscovery/autodiscoveryimpl/autoconfig.go:485 in addListenerCandidates) | Listener kube_endpoints was registered
2024-08-19 15:35:58 UTC | CLUSTER | DEBUG | (comp/core/autodiscovery/autodiscoveryimpl/autoconfig.go:485 in addListenerCandidates) | Listener kube_services was registered
2024-08-19 15:35:58 UTC | CLUSTER | DEBUG | (comp/core/autodiscovery/autodiscoveryimpl/autoconfig.go:485 in addListenerCandidates) | Listener environment was registered
2024-08-19 15:35:58 UTC | CLUSTER | DEBUG | (comp/core/autodiscovery/autodiscoveryimpl/autoconfig.go:485 in addListenerCandidates) | Listener static config was registered
2024-08-19 15:35:58 UTC | CLUSTER | INFO | (comp/core/autodiscovery/autodiscoveryimpl/autoconfig.go:499 in initListenerCandidates) | kube_endpoints listener successfully started
2024-08-19 15:35:58 UTC | CLUSTER | DEBUG | (comp/core/autodiscovery/listeners/kube_endpoints.go:344 in createService) | Creating a new AD service: kube_endpoint_uid://kube-system/kube-dns/10.244.0.2
2024-08-19 15:35:58 UTC | CLUSTER | DEBUG | (comp/core/autodiscovery/listeners/kube_endpoints.go:344 in createService) | Creating a new AD service: kube_endpoint_uid://kube-system/kube-dns/10.244.0.4
2024-08-19 15:35:58 UTC | CLUSTER | DEBUG | (comp/core/autodiscovery/listeners/kube_endpoints.go:344 in createService) | Creating a new AD service: kube_endpoint_uid://kube-system/kube-dns/10.244.0.2
2024-08-19 15:35:58 UTC | CLUSTER | DEBUG | (comp/core/autodiscovery/listeners/kube_endpoints.go:344 in createService) | Creating a new AD service: kube_endpoint_uid://kube-system/kube-dns/10.244.0.4
2024-08-19 15:35:58 UTC | CLUSTER | DEBUG | (comp/core/autodiscovery/autodiscoveryimpl/configmgr.go:126 in processNewService) | Service kube_endpoint_uid://kube-system/kube-dns/10.244.0.2 is already tracked by autodiscovery
2024-08-19 15:35:58 UTC | CLUSTER | DEBUG | (comp/core/autodiscovery/autodiscoveryimpl/configmgr.go:126 in processNewService) | Service kube_endpoint_uid://kube-system/kube-dns/10.244.0.4 is already tracked by autodiscovery
2024-08-19 15:35:58 UTC | CLUSTER | INFO | (comp/core/autodiscovery/autodiscoveryimpl/autoconfig.go:499 in initListenerCandidates) | kube_services listener successfully started
2024-08-19 15:35:58 UTC | CLUSTER | INFO | (comp/core/autodiscovery/autodiscoveryimpl/autoconfig.go:499 in initListenerCandidates) | environment listener successfully started
2024-08-19 15:35:58 UTC | CLUSTER | INFO | (comp/core/autodiscovery/autodiscoveryimpl/autoconfig.go:499 in initListenerCandidates) | static config listener successfully started
2024-08-19 15:35:58 UTC | CLUSTER | DEBUG | (pkg/collector/scheduler.go:75 in InitCheckScheduler) | Added Core Check Loader to Check Scheduler
2024-08-19 15:35:58 UTC | CLUSTER | INFO | (comp/core/autodiscovery/autodiscoveryimpl/config_poller.go:168 in collectOnce) | file provider: collected 3 new configurations, removed 0
2024-08-19 15:35:58 UTC | CLUSTER | INFO | (comp/core/autodiscovery/autodiscoveryimpl/autoconfig.go:391 in LoadAndRun) | Started config provider "file"
2024-08-19 15:35:58 UTC | CLUSTER | DEBUG | (comp/core/autodiscovery/autodiscoveryimpl/config_poller.go:170 in collectOnce) | kubernetes-endpoints provider: no configuration change
2024-08-19 15:35:58 UTC | CLUSTER | INFO | (comp/core/autodiscovery/autodiscoveryimpl/autoconfig.go:389 in LoadAndRun) | Started config provider "kubernetes-endpoints", polled every 10s
2024-08-19 15:35:58 UTC | CLUSTER | DEBUG | (comp/core/autodiscovery/autodiscoveryimpl/config_poller.go:170 in collectOnce) | kubernetes-services provider: no configuration change
2024-08-19 15:35:58 UTC | CLUSTER | INFO | (comp/core/autodiscovery/autodiscoveryimpl/autoconfig.go:389 in LoadAndRun) | Started config provider "kubernetes-services", polled every 10s
2024-08-19 15:35:58 UTC | CLUSTER | INFO | (pkg/clusteragent/clusterchecks/dispatcher_main.go:70 in newDispatcher) | Adding both tags cluster_name and kube_cluster_name. You can use 'disable_cluster_name_tag_key' in the Agent config to keep the kube_cluster_name tag only
2024-08-19 15:35:58 UTC | CLUSTER | INFO | (subcommands/start/command.go:533 in setupClusterCheck) | Started cluster check Autodiscovery
2024-08-19 15:35:58 UTC | CLUSTER | DEBUG | (api/v1/install.go:33 in InstallChecksEndpoints) | Registering checks endpoints
2024-08-19 15:35:58 UTC | CLUSTER | INFO | (pkg/clusteragent/languagedetection/patcher.go:103 in func1) | Starting language detection patcher
2024-08-19 15:35:58 UTC | CLUSTER | INFO | (subcommands/start/command.go:454 in start) | Auto instrumentation patcher is disabled
2024-08-19 15:35:58 UTC | CLUSTER | INFO | (comp/core/autodiscovery/listeners/environment.go:64 in createServices) | Listener created kube_orchestrator service from environment
2024-08-19 15:35:58 UTC | CLUSTER | DEBUG | (comp/core/autodiscovery/autodiscoveryimpl/configmgr.go:126 in processNewService) | Service kube_service://kube-system/kube-dns is already tracked by autodiscovery
2024-08-19 15:35:58 UTC | CLUSTER | INFO | (comp/core/autodiscovery/listeners/environment.go:64 in createServices) | Listener created kubelet service from environment
2024-08-19 15:35:58 UTC | CLUSTER | INFO | (comp/core/autodiscovery/listeners/environment.go:71 in createServices) | Listener created container service from environment
2024-08-19 15:35:58 UTC | CLUSTER | INFO | (pkg/clusteragent/clusterchecks/handler.go:116 in Run) | Becoming leader, waiting 30s for node-agents to report
