2024-08-27 17:16:18 UTC | PROCESS | INFO | (pkg/util/log/log.go:831 in func1) | running on platform: ubuntu
2024-08-27 17:16:18 UTC | PROCESS | INFO | (pkg/util/log/log.go:831 in func1) | running version: 7.55.2
2024-08-27 17:16:18 UTC | PROCESS | INFO | (pkg/util/log/log.go:826 in func1) | Starting to load the configuration
2024-08-27 17:16:18 UTC | PROCESS | INFO | (pkg/util/log/log.go:826 in func1) | Loading proxy settings
2024-08-27 17:16:18 UTC | PROCESS | DEBUG | (pkg/util/log/log.go:791 in func1) | 'use_proxy_for_cloud_metadata' is enabled: adding cloud provider URL to the no_proxy list
2024-08-27 17:16:18 UTC | PROCESS | INFO | (pkg/util/log/log.go:826 in func1) | Starting to resolve secrets
2024-08-27 17:16:18 UTC | PROCESS | WARN | (pkg/util/log/log.go:871 in func1) | Agent configuration relax permissions constraint on the secret backend cmd, Group can read and exec
2024-08-27 17:16:18 UTC | PROCESS | INFO | (pkg/util/log/log.go:826 in func1) | Finished resolving secrets
2024-08-27 17:16:18 UTC | PROCESS | DEBUG | (pkg/util/log/log.go:786 in func1) | Setting environment variable HOST_ETC to '/host/etc'
2024-08-27 17:16:18 UTC | PROCESS | DEBUG | (pkg/util/log/log.go:786 in func1) | FIPS mode is disabled
2024-08-27 17:16:18 UTC | PROCESS | INFO | (pkg/util/log/log.go:831 in func1) | 4 Features detected from environment: kubernetes,kube_orchestratorexplorer,cri,containerd
2024-08-27 17:16:18 UTC | PROCESS | INFO | (pkg/config/setup/config.go:1834 in LoadCustom) | Starting to load the configuration
2024-08-27 17:16:18 UTC | PROCESS | WARN | (pkg/config/setup/config.go:1847 in LoadCustom) | Unknown key in config file: runtime_security_config.syscall_monitor.enabled
2024-08-27 17:16:18 UTC | PROCESS | WARN | (pkg/config/setup/config.go:1847 in LoadCustom) | Unknown key in config file: runtime_security_config.network.enabled
2024-08-27 17:16:18 UTC | PROCESS | WARN | (pkg/config/setup/config.go:1847 in LoadCustom) | Unknown key in config file: runtime_security_config.activity_dump.path_merge.enabled
2024-08-27 17:16:18 UTC | PROCESS | WARN | (pkg/config/setup/config.go:1847 in LoadCustom) | Unknown key in config file: runtime_security_config.activity_dump.cgroup_wait_list_size
2024-08-27 17:16:18 UTC | PROCESS | WARN | (pkg/config/model/viper.go:214 in checkKnownKey) | config key runtime_security_config.activity_dump.cgroup_wait_list_size is unknown
2024-08-27 17:16:18 UTC | PROCESS | WARN | (pkg/config/model/viper.go:214 in checkKnownKey) | config key runtime_security_config.syscall_monitor.enabled is unknown
2024-08-27 17:16:18 UTC | PROCESS | WARN | (pkg/config/model/viper.go:214 in checkKnownKey) | config key runtime_security_config.activity_dump.path_merge.enabled is unknown
2024-08-27 17:16:18 UTC | PROCESS | WARN | (pkg/config/model/viper.go:214 in checkKnownKey) | config key runtime_security_config.network.enabled is unknown
2024-08-27 17:16:18 UTC | PROCESS | WARN | (pkg/config/model/viper.go:214 in checkKnownKey) | config key fips.enabled is unknown
2024-08-27 17:16:18 UTC | PROCESS | INFO | (pkg/config/setup/config.go:1518 in LoadProxyFromEnv) | Loading proxy settings
2024-08-27 17:16:18 UTC | PROCESS | WARN | (pkg/config/model/viper.go:214 in checkKnownKey) | config key use_proxy_for_cloud_metadata is unknown
2024-08-27 17:16:18 UTC | PROCESS | DEBUG | (pkg/config/setup/config.go:1573 in LoadProxyFromEnv) | 'use_proxy_for_cloud_metadata' is enabled: adding cloud provider URL to the no_proxy list
2024-08-27 17:16:18 UTC | PROCESS | DEBUG | (pkg/config/setup/config.go:1767 in useHostEtc) | '/host/etc' folder detected but HOST_ETC is already set to '/host/etc', leaving it untouched
2024-08-27 17:16:18 UTC | PROCESS | WARN | (cmd/system-probe/config/adjust.go:150 in deprecateCustom) | configuration key `network_config.enable_http_monitoring` is deprecated, use `service_monitoring_config.enable_http_monitoring` instead
2024-08-27 17:16:18 UTC | PROCESS | WARN | (cmd/system-probe/config/adjust.go:150 in deprecateCustom) | configuration key `network_config.enable_https_monitoring` is deprecated, use `service_monitoring_config.tls.native.enabled` instead
2024-08-27 17:16:18 UTC | PROCESS | WARN | (cmd/system-probe/config/adjust.go:150 in deprecateCustom) | configuration key `runtime_security_config.activity_dump.cgroup_dump_timeout` is deprecated, use `runtime_security_config.activity_dump.dump_duration` instead
2024-08-27 17:16:18 UTC | PROCESS | DEBUG | (comp/forwarder/eventplatform/eventplatformimpl/epforwarder.go:430 in newHTTPPassthroughPipeline) | Initialized event platform forwarder pipeline. eventType=dbm-samples mainHosts=dbm-metrics-intake.datadoghq.com additionalHosts= batch_max_concurrent_send=10 batch_max_content_size=10000000 batch_max_size=1000, input_chan_size=500
2024-08-27 17:16:18 UTC | PROCESS | DEBUG | (comp/forwarder/eventplatform/eventplatformimpl/epforwarder.go:430 in newHTTPPassthroughPipeline) | Initialized event platform forwarder pipeline. eventType=dbm-metrics mainHosts=dbm-metrics-intake.datadoghq.com additionalHosts= batch_max_concurrent_send=10 batch_max_content_size=20000000 batch_max_size=1000, input_chan_size=500
2024-08-27 17:16:18 UTC | PROCESS | DEBUG | (comp/forwarder/eventplatform/eventplatformimpl/epforwarder.go:430 in newHTTPPassthroughPipeline) | Initialized event platform forwarder pipeline. eventType=dbm-metadata mainHosts=dbm-metrics-intake.datadoghq.com additionalHosts= batch_max_concurrent_send=10 batch_max_content_size=20000000 batch_max_size=1000, input_chan_size=500
2024-08-27 17:16:18 UTC | PROCESS | DEBUG | (comp/forwarder/eventplatform/eventplatformimpl/epforwarder.go:430 in newHTTPPassthroughPipeline) | Initialized event platform forwarder pipeline. eventType=dbm-activity mainHosts=dbm-metrics-intake.datadoghq.com additionalHosts= batch_max_concurrent_send=10 batch_max_content_size=20000000 batch_max_size=1000, input_chan_size=500
2024-08-27 17:16:18 UTC | PROCESS | DEBUG | (comp/forwarder/eventplatform/eventplatformimpl/epforwarder.go:430 in newHTTPPassthroughPipeline) | Initialized event platform forwarder pipeline. eventType=network-devices-metadata mainHosts=ndm-intake.datadoghq.com additionalHosts= batch_max_concurrent_send=10 batch_max_content_size=5000000 batch_max_size=1000, input_chan_size=100
2024-08-27 17:16:18 UTC | PROCESS | DEBUG | (comp/forwarder/eventplatform/eventplatformimpl/epforwarder.go:430 in newHTTPPassthroughPipeline) | Initialized event platform forwarder pipeline. eventType=network-devices-snmp-traps mainHosts=snmp-traps-intake.datadoghq.com additionalHosts= batch_max_concurrent_send=10 batch_max_content_size=5000000 batch_max_size=1000, input_chan_size=100
2024-08-27 17:16:18 UTC | PROCESS | DEBUG | (comp/forwarder/eventplatform/eventplatformimpl/epforwarder.go:430 in newHTTPPassthroughPipeline) | Initialized event platform forwarder pipeline. eventType=network-devices-netflow mainHosts=ndmflow-intake.datadoghq.com additionalHosts= batch_max_concurrent_send=10 batch_max_content_size=5000000 batch_max_size=10000, input_chan_size=10000
2024-08-27 17:16:18 UTC | PROCESS | DEBUG | (comp/forwarder/eventplatform/eventplatformimpl/epforwarder.go:430 in newHTTPPassthroughPipeline) | Initialized event platform forwarder pipeline. eventType=network-path mainHosts=netpath-intake.datadoghq.com additionalHosts= batch_max_concurrent_send=10 batch_max_content_size=5000000 batch_max_size=1000, input_chan_size=100
