2024-08-27 17:16:18 UTC | SECURITY | INFO | (pkg/util/log/log.go:826 in func1) | Starting to load the configuration
2024-08-27 17:16:18 UTC | SECURITY | INFO | (pkg/util/log/log.go:826 in func1) | Loading proxy settings
2024-08-27 17:16:18 UTC | SECURITY | DEBUG | (pkg/util/log/log.go:791 in func1) | 'use_proxy_for_cloud_metadata' is enabled: adding cloud provider URL to the no_proxy list
2024-08-27 17:16:18 UTC | SECURITY | INFO | (pkg/util/log/log.go:826 in func1) | Starting to resolve secrets
2024-08-27 17:16:18 UTC | SECURITY | WARN | (pkg/util/log/log.go:871 in func1) | Agent configuration relax permissions constraint on the secret backend cmd, Group can read and exec
2024-08-27 17:16:18 UTC | SECURITY | INFO | (pkg/util/log/log.go:826 in func1) | Finished resolving secrets
2024-08-27 17:16:18 UTC | SECURITY | DEBUG | (pkg/util/log/log.go:786 in func1) | Setting environment variable HOST_ETC to '/host/etc'
2024-08-27 17:16:18 UTC | SECURITY | DEBUG | (pkg/util/log/log.go:786 in func1) | FIPS mode is disabled
2024-08-27 17:16:18 UTC | SECURITY | INFO | (pkg/util/log/log.go:831 in func1) | 3 Features detected from environment: kubernetes,cri,containerd
2024-08-27 17:16:18 UTC | SECURITY | INFO | (pkg/config/setup/config.go:1834 in LoadCustom) | Starting to load the configuration
2024-08-27 17:16:18 UTC | SECURITY | WARN | (pkg/config/setup/config.go:1847 in LoadCustom) | Unknown key in config file: runtime_security_config.activity_dump.path_merge.enabled
2024-08-27 17:16:18 UTC | SECURITY | WARN | (pkg/config/setup/config.go:1847 in LoadCustom) | Unknown key in config file: runtime_security_config.network.enabled
2024-08-27 17:16:18 UTC | SECURITY | WARN | (pkg/config/setup/config.go:1847 in LoadCustom) | Unknown key in config file: runtime_security_config.syscall_monitor.enabled
2024-08-27 17:16:18 UTC | SECURITY | WARN | (pkg/config/setup/config.go:1847 in LoadCustom) | Unknown key in config file: runtime_security_config.activity_dump.cgroup_wait_list_size
2024-08-27 17:16:18 UTC | SECURITY | WARN | (pkg/config/model/viper.go:214 in checkKnownKey) | config key runtime_security_config.network.enabled is unknown
2024-08-27 17:16:18 UTC | SECURITY | WARN | (pkg/config/model/viper.go:214 in checkKnownKey) | config key runtime_security_config.activity_dump.path_merge.enabled is unknown
2024-08-27 17:16:18 UTC | SECURITY | WARN | (pkg/config/model/viper.go:214 in checkKnownKey) | config key runtime_security_config.syscall_monitor.enabled is unknown
2024-08-27 17:16:18 UTC | SECURITY | WARN | (pkg/config/model/viper.go:214 in checkKnownKey) | config key runtime_security_config.activity_dump.cgroup_wait_list_size is unknown
2024-08-27 17:16:18 UTC | SECURITY | WARN | (pkg/config/model/viper.go:214 in checkKnownKey) | config key fips.enabled is unknown
2024-08-27 17:16:18 UTC | SECURITY | INFO | (pkg/config/setup/config.go:1518 in LoadProxyFromEnv) | Loading proxy settings
2024-08-27 17:16:18 UTC | SECURITY | WARN | (pkg/config/model/viper.go:214 in checkKnownKey) | config key use_proxy_for_cloud_metadata is unknown
2024-08-27 17:16:18 UTC | SECURITY | DEBUG | (pkg/config/setup/config.go:1573 in LoadProxyFromEnv) | 'use_proxy_for_cloud_metadata' is enabled: adding cloud provider URL to the no_proxy list
2024-08-27 17:16:18 UTC | SECURITY | DEBUG | (pkg/config/setup/config.go:1767 in useHostEtc) | '/host/etc' folder detected but HOST_ETC is already set to '/host/etc', leaving it untouched
2024-08-27 17:16:18 UTC | SECURITY | WARN | (cmd/system-probe/config/adjust.go:150 in deprecateCustom) | configuration key `network_config.enable_http_monitoring` is deprecated, use `service_monitoring_config.enable_http_monitoring` instead
2024-08-27 17:16:18 UTC | SECURITY | WARN | (cmd/system-probe/config/adjust.go:150 in deprecateCustom) | configuration key `network_config.enable_https_monitoring` is deprecated, use `service_monitoring_config.tls.native.enabled` instead
2024-08-27 17:16:18 UTC | SECURITY | WARN | (cmd/system-probe/config/adjust.go:150 in deprecateCustom) | configuration key `runtime_security_config.activity_dump.cgroup_dump_timeout` is deprecated, use `runtime_security_config.activity_dump.dump_duration` instead
2024-08-27 17:16:18 UTC | SECURITY | DEBUG | (pkg/util/grpc/agent_client.go:43 in getGRPCClientConn) | attempting to create grpc agent client connection to: localhost:5001
2024-08-27 17:16:19 UTC | SECURITY | DEBUG | (pkg/util/grpc/agent_client.go:43 in getGRPCClientConn) | attempting to create grpc agent client connection to: localhost:5001
2024-08-27 17:16:21 UTC | SECURITY | DEBUG | (pkg/util/grpc/agent_client.go:43 in getGRPCClientConn) | attempting to create grpc agent client connection to: localhost:5001
2024-08-27 17:16:21 UTC | SECURITY | DEBUG | (pkg/util/grpc/agent_client.go:64 in GetDDAgentClient) | grpc agent client created
2024-08-27 17:16:21 UTC | SECURITY | DEBUG | (pkg/security/utils/hostname.go:57 in func1) | Acquired hostname from gRPC: local-worker2-ccdaniele-kind
2024-08-27 17:16:21 UTC | SECURITY | INFO | (pkg/security/utils/hostname.go:76 in GetHostnameWithContextAndFallback) | Hostname is: local-worker2-ccdaniele-kind
2024-08-27 17:16:21 UTC | SECURITY | INFO | (pkg/security/config/config.go:539 in ActivityDumpRemoteStorageEndpoints) | activity dump remote storage endpoint: Reliable: Sending compressed logs in HTTPS to cws-intake.datadoghq.com on port 443
2024-08-27 17:16:21 UTC | SECURITY | INFO | (pkg/security/common/logs_context.go:62 in NewLogContext) | Reliable: Sending compressed logs in HTTPS to runtime-security-http-intake.logs.datadoghq.com on port 443
2024-08-27 17:16:21 UTC | SECURITY | INFO | (subcommands/runtime/command.go:718 in StartRuntimeSecurity) | Datadog runtime security agent is now running
2024-08-27 17:16:21 UTC | SECURITY | DEBUG | (pkg/util/grpc/agent_client.go:43 in getGRPCClientConn) | attempting to create grpc agent client connection to: localhost:5001
2024-08-27 17:16:21 UTC | SECURITY | INFO | (pkg/security/agent/telemetry_linux.go:64 in run) | started collecting Runtime Security Agent telemetry
2024-08-27 17:16:21 UTC | SECURITY | DEBUG | (pkg/util/grpc/agent_client.go:64 in GetDDAgentClient) | grpc agent client created
2024-08-27 17:16:21 UTC | SECURITY | DEBUG | (pkg/security/utils/hostname.go:57 in func1) | Acquired hostname from gRPC: local-worker2-ccdaniele-kind
2024-08-27 17:16:21 UTC | SECURITY | INFO | (pkg/security/utils/hostname.go:76 in GetHostnameWithContextAndFallback) | Hostname is: local-worker2-ccdaniele-kind
2024-08-27 17:16:21 UTC | SECURITY | INFO | (pkg/security/common/logs_context.go:62 in NewLogContext) | Reliable: Sending compressed logs in HTTPS to cspm-intake.datadoghq.com on port 443
2024-08-27 17:16:21 UTC | SECURITY | DEBUG | (pkg/config/setup/config.go:2230 in IsCloudProviderEnabled) | cloud_provider_metadata is set to [aws gcp azure alibaba oracle ibm] in agent configuration, trying endpoints for AWS Cloud Provider
2024-08-27 17:16:21 UTC | SECURITY | DEBUG | (pkg/util/http/transport.go:144 in 1) | URL 'http://169.254.169.254/latest/meta-data/hostname' matches no_proxy list item '169.254.169.254': not using any proxy
2024-08-27 17:16:21 UTC | SECURITY | DEBUG | (pkg/config/setup/config.go:2230 in IsCloudProviderEnabled) | cloud_provider_metadata is set to [aws gcp azure alibaba oracle ibm] in agent configuration, trying endpoints for GCP Cloud Provider
2024-08-27 17:16:21 UTC | SECURITY | DEBUG | (pkg/util/http/transport.go:144 in 1) | URL 'http://169.254.169.254/computeMetadata/v1/instance/hostname' matches no_proxy list item '169.254.169.254': not using any proxy
2024-08-27 17:16:21 UTC | SECURITY | DEBUG | (pkg/config/setup/config.go:2230 in IsCloudProviderEnabled) | cloud_provider_metadata is set to [aws gcp azure alibaba oracle ibm] in agent configuration, trying endpoints for Azure Cloud Provider
2024-08-27 17:16:21 UTC | SECURITY | DEBUG | (pkg/util/http/transport.go:144 in 1) | URL 'http://169.254.169.254/metadata/instance/compute/vmId?api-version=2017-04-02&format=text' matches no_proxy list item '169.254.169.254': not using any proxy
2024-08-27 17:16:21 UTC | SECURITY | ERROR | (pkg/security/common/account_id.go:66 in func1) | failed to query account id: no cloud provider detected
2024-08-27 17:16:21 UTC | SECURITY | INFO | (pkg/compliance/agent.go:277 in Start) | compliance agent started
2024-08-27 17:16:21 UTC | SECURITY | INFO | (pkg/compliance/agent.go:586 in runTelemetry) | Start collecting Compliance telemetry
2024-08-27 17:16:21 UTC | SECURITY | INFO | (comp/core/workloadmeta/store.go:99 in start) | workloadmeta store initialized successfully
2024-08-27 17:16:21 UTC | SECURITY | INFO | (comp/core/workloadmeta/store.go:572 in startCandidates) | workloadmeta collector "cloudfoundry-container" could not start. error: component workloadmeta-cloudfoundry-container is disabled: Agent is not running on CloudFoundry
2024-08-27 17:16:21 UTC | SECURITY | INFO | (comp/core/workloadmeta/store.go:572 in startCandidates) | workloadmeta collector "ecs" could not start. error: component workloadmeta-ecs is disabled: Agent is not running on ECS EC2
2024-08-27 17:16:21 UTC | SECURITY | DEBUG | (pkg/util/kubernetes/kubelet/kubelet_hosts.go:55 in getKubeletHostFromConfig) | Trying to parse kubernetes_kubelet_host: 172.18.0.4
2024-08-27 17:16:21 UTC | SECURITY | DEBUG | (pkg/util/kubernetes/kubelet/kubelet_hosts.go:70 in getKubeletHostFromConfig) | Parsed kubernetes_kubelet_host: 172.18.0.4 is an address: 172.18.0.4, cached, trying to resolve it to hostname
2024-08-27 17:16:21 UTC | SECURITY | INFO | (pkg/api/security/security.go:74 in GenerateRootCert) | [/omnibus/src/datadog-agent/src/github.com/DataDog/datadog-agent/cmd/security-agent/api/server.go:70] Generating root certificate for hosts 127.0.0.1, localhost
2024-08-27 17:16:21 UTC | SECURITY | DEBUG | (pkg/util/kubernetes/kubelet/kubelet_hosts.go:76 in getKubeletHostFromConfig) | kubernetes_kubelet_host: 172.18.0.4 is resolved to: [local-worker2.kind.]
2024-08-27 17:16:21 UTC | SECURITY | DEBUG | (pkg/util/kubernetes/kubelet/kubelet_hosts.go:34 in getPotentialKubeletHosts) | Got potential kubelet connection info from config, ips: [172.18.0.4], hostnames: [local-worker2.kind.]
2024-08-27 17:16:21 UTC | SECURITY | DEBUG | (pkg/util/docker/global.go:41 in GetDockerUtilWithRetrier) | Docker init error: temporary failure in dockerutil, will retry later: Cannot connect to the Docker daemon at unix:///var/run/docker.sock. Is the docker daemon running?
2024-08-27 17:16:21 UTC | SECURITY | DEBUG | (pkg/util/kubernetes/kubelet/kubelet_hosts.go:89 in getKubeletHostFromDocker) | unable to get hostname from docker, make sure to set the kubernetes_kubelet_host option: temporary failure in dockerutil, will retry later: Cannot connect to the Docker daemon at unix:///var/run/docker.sock. Is the docker daemon running?
2024-08-27 17:16:21 UTC | SECURITY | DEBUG | (pkg/util/kubernetes/kubelet/kubelet_hosts.go:40 in getPotentialKubeletHosts) | Got potential kubelet connection info from docker, ips: [], hostnames: []
2024-08-27 17:16:21 UTC | SECURITY | DEBUG | (pkg/util/kubernetes/kubelet/kubelet_client.go:265 in checkKubeletConnection) | Trying to reach Kubelet with scheme: https
2024-08-27 17:16:21 UTC | SECURITY | DEBUG | (pkg/util/kubernetes/kubelet/kubelet_client.go:276 in checkKubeletConnection) | Trying to reach Kubelet at: 172.18.0.4:10250
2024-08-27 17:16:21 UTC | SECURITY | INFO | (pkg/util/kubernetes/kubelet/kubelet_client.go:289 in checkKubeletConnection) | Successful configuration found for Kubelet, using URL: https://172.18.0.4:10250
2024-08-27 17:16:21 UTC | SECURITY | INFO | (comp/core/workloadmeta/store.go:569 in startCandidates) | workloadmeta collector "kubelet" started successfully
2024-08-27 17:16:21 UTC | SECURITY | INFO | (comp/core/workloadmeta/store.go:572 in startCandidates) | workloadmeta collector "ecs_fargate" could not start. error: component workloadmeta-ecs_fargate is disabled: Agent is not running on ECS Fargate
2024-08-27 17:16:21 UTC | SECURITY | INFO | (comp/core/workloadmeta/store.go:569 in startCandidates) | workloadmeta collector "host" started successfully
2024-08-27 17:16:21 UTC | SECURITY | INFO | (comp/core/workloadmeta/store.go:572 in startCandidates) | workloadmeta collector "cloudfoundry-vm" could not start. error: component workloadmeta-cloudfoundry-vm is disabled: Agent is not running on CloudFoundry
2024-08-27 17:16:21 UTC | SECURITY | INFO | (comp/core/workloadmeta/store.go:572 in startCandidates) | workloadmeta collector "process-collector" could not start. error: collector process-collector is not enabled
2024-08-27 17:16:21 UTC | SECURITY | INFO | (comp/core/workloadmeta/store.go:572 in startCandidates) | workloadmeta collector "docker" could not start. error: component workloadmeta-docker is disabled: Agent is not running on Docker
2024-08-27 17:16:21 UTC | SECURITY | DEBUG | (pkg/util/clusteragent/clusteragent.go:253 in GetClusterAgentEndpoint) | Identified service for the Datadog Cluster Agent: kind-datadog-cluster-agent
2024-08-27 17:16:21 UTC | SECURITY | INFO | (pkg/api/security/security.go:194 in getClusterAgentAuthToken) | Using configured cluster_agent.auth_token
2024-08-27 17:16:21 UTC | SECURITY | DEBUG | (pkg/util/clusteragent/clusteragent.go:114 in GetClusterAgentClient) | Cluster Agent init error: temporary failure in clusterAgentClient, will retry later: "https://10.96.66.205:5005/version" is unavailable: 403 Forbidden
2024-08-27 17:16:21 UTC | SECURITY | ERROR | (comp/core/workloadmeta/collectors/internal/kubemetadata/kubemetadata.go:88 in Start) | Could not initialise the communication with the cluster agent: temporary failure in clusterAgentClient, will retry later: "https://10.96.66.205:5005/version" is unavailable: 403 Forbidden
2024-08-27 17:16:21 UTC | SECURITY | DEBUG | (comp/core/workloadmeta/store.go:563 in startCandidates) | workloadmeta collector "kube_metadata" could not start, but will retry. error: temporary failure in clusterAgentClient, will retry later: "https://10.96.66.205:5005/version" is unavailable: 403 Forbidden
2024-08-27 17:16:21 UTC | SECURITY | INFO | (pkg/util/containerd/containerd_util.go:177 in connect) | Connected to containerd - Version v1.7.15/***********************************e31f1
2024-08-27 17:16:21 UTC | SECURITY | DEBUG | (pkg/compliance/agent.go:313 in runRegoBenchmarks) | will be executing 2 rego benchmarks every 20m0s
2024-08-27 17:16:21 UTC | SECURITY | DEBUG | (comp/core/workloadmeta/collectors/internal/containerd/containerd.go:302 in notifyInitialImageEvents) | 30 initial image events sent for namespace k8s.io. total number of images reference is 87
2024-08-27 17:16:21 UTC | SECURITY | INFO | (subcommands/start/command.go:316 in RunAgent) | Datadog Security Agent is now running.
2024-08-27 17:16:21 UTC | SECURITY | DEBUG | (comp/core/workloadmeta/collectors/internal/containerd/container_builder.go:91 in buildWorkloadMetaContainer) | cannot get IP of container no running task found: task 0ab011e9f4c2afdaff2812162f8c32968a66ef52ebec40c198ac04d9e4447f3b not found: not found
2024-08-27 17:16:21 UTC | SECURITY | DEBUG | (comp/core/workloadmeta/collectors/internal/containerd/container_builder.go:91 in buildWorkloadMetaContainer) | cannot get IP of container no running task found: task 5ebb4ed14cd425a1fa5029daad82f4722bbe4d446c7b4ecaaf379173f46c976e not found: not found
2024-08-27 17:16:21 UTC | SECURITY | DEBUG | (comp/core/workloadmeta/collectors/internal/containerd/container_builder.go:91 in buildWorkloadMetaContainer) | cannot get IP of container no running task found: task 6936ab8bb2a8498a0d941fd65820ed222dcfe94cca2b84e47014bb6755f12aa6 not found: not found
2024-08-27 17:16:21 UTC | SECURITY | DEBUG | (comp/core/workloadmeta/collectors/internal/containerd/container_builder.go:91 in buildWorkloadMetaContainer) | cannot get IP of container no running task found: task 6ad2903dedea8e002e04c28b39a561c1826201755ac181367f6da8ae60c4b1d9 not found: not found
2024-08-27 17:16:21 UTC | SECURITY | DEBUG | (comp/core/workloadmeta/collectors/util/image_metadata_util.go:38 in ExtractRepoDigestFromImage) | cannot get matched registry in repodigests for image sha256:4740c1948d3fceb8d7dacc63033aa6299d80794ee4f4811539ec1081d9211f3d
2024-08-27 17:16:21 UTC | SECURITY | DEBUG | (comp/core/workloadmeta/collectors/internal/containerd/container_builder.go:67 in buildWorkloadMetaContainer) | cannot get repo digest for image sha256:4740c1948d3fceb8d7dacc63033aa6299d80794ee4f4811539ec1081d9211f3d from workloadmeta store
2024-08-27 17:16:21 UTC | SECURITY | DEBUG | (comp/core/workloadmeta/collectors/internal/containerd/container_builder.go:91 in buildWorkloadMetaContainer) | cannot get IP of container no running task found: task a1d669bc47961c47ad9fb961489252d2b6dfdd19ee0a932e2cb887e6fb937b03 not found: not found
