2024-08-27 17:16:18 UTC | SYS-PROBE | INFO | (pkg/util/log/log.go:826 in func1) | Starting to load the configuration
2024-08-27 17:16:18 UTC | SYS-PROBE | WARN | (pkg/util/log/log.go:871 in func1) | Unknown key in config file: runtime_security_config.activity_dump.cgroup_wait_list_size
2024-08-27 17:16:18 UTC | SYS-PROBE | WARN | (pkg/util/log/log.go:871 in func1) | Unknown key in config file: runtime_security_config.network.enabled
2024-08-27 17:16:18 UTC | SYS-PROBE | WARN | (pkg/util/log/log.go:871 in func1) | Unknown key in config file: runtime_security_config.syscall_monitor.enabled
2024-08-27 17:16:18 UTC | SYS-PROBE | WARN | (pkg/util/log/log.go:871 in func1) | Unknown key in config file: runtime_security_config.activity_dump.path_merge.enabled
2024-08-27 17:16:18 UTC | SYS-PROBE | WARN | (pkg/util/log/log.go:871 in func1) | config key runtime_security_config.network.enabled is unknown
2024-08-27 17:16:18 UTC | SYS-PROBE | WARN | (pkg/util/log/log.go:871 in func1) | config key runtime_security_config.activity_dump.path_merge.enabled is unknown
2024-08-27 17:16:18 UTC | SYS-PROBE | WARN | (pkg/util/log/log.go:871 in func1) | config key runtime_security_config.activity_dump.cgroup_wait_list_size is unknown
2024-08-27 17:16:18 UTC | SYS-PROBE | WARN | (pkg/util/log/log.go:871 in func1) | config key runtime_security_config.syscall_monitor.enabled is unknown
2024-08-27 17:16:18 UTC | SYS-PROBE | WARN | (pkg/util/log/log.go:871 in func1) | config key fips.enabled is unknown
2024-08-27 17:16:18 UTC | SYS-PROBE | INFO | (pkg/util/log/log.go:826 in func1) | Loading proxy settings
2024-08-27 17:16:18 UTC | SYS-PROBE | WARN | (pkg/util/log/log.go:871 in func1) | config key use_proxy_for_cloud_metadata is unknown
2024-08-27 17:16:18 UTC | SYS-PROBE | DEBUG | (pkg/util/log/log.go:791 in func1) | 'use_proxy_for_cloud_metadata' is enabled: adding cloud provider URL to the no_proxy list
2024-08-27 17:16:18 UTC | SYS-PROBE | DEBUG | (pkg/util/log/log.go:786 in func1) | Setting environment variable HOST_ETC to '/host/etc'
2024-08-27 17:16:18 UTC | SYS-PROBE | WARN | (pkg/util/log/log.go:866 in func1) | configuration key `network_config.enable_http_monitoring` is deprecated, use `service_monitoring_config.enable_http_monitoring` instead
2024-08-27 17:16:18 UTC | SYS-PROBE | WARN | (pkg/util/log/log.go:866 in func1) | configuration key `network_config.enable_https_monitoring` is deprecated, use `service_monitoring_config.tls.native.enabled` instead
2024-08-27 17:16:18 UTC | SYS-PROBE | WARN | (pkg/util/log/log.go:866 in func1) | configuration key `runtime_security_config.activity_dump.cgroup_dump_timeout` is deprecated, use `runtime_security_config.activity_dump.dump_duration` instead
2024-08-27 17:16:18 UTC | SYS-PROBE | WARN | (pkg/util/log/log.go:871 in func1) | config key disable_file_logging is unknown
2024-08-27 17:16:18 UTC | SYS-PROBE | WARN | (pkg/util/log/log.go:871 in func1) | config key log_format_rfc3339 is unknown
2024-08-27 17:16:18 UTC | SYS-PROBE | WARN | (pkg/config/model/viper.go:214 in checkKnownKey) | config key flare_stripped_keys is unknown
2024-08-27 17:16:18 UTC | SYS-PROBE | WARN | (pkg/config/model/viper.go:418 in GetStringSlice) | failed to get configuration value for key "flare_stripped_keys": unable to cast <nil> of type <nil> to []string
2024-08-27 17:16:18 UTC | SYS-PROBE | WARN | (pkg/config/model/viper.go:214 in checkKnownKey) | config key scrubber.additional_keys is unknown
2024-08-27 17:16:18 UTC | SYS-PROBE | WARN | (pkg/config/model/viper.go:418 in GetStringSlice) | failed to get configuration value for key "scrubber.additional_keys": unable to cast <nil> of type <nil> to []string
2024-08-27 17:16:18 UTC | SYS-PROBE | INFO | (pkg/config/setup/config.go:1834 in LoadCustom) | Starting to load the configuration
2024-08-27 17:16:18 UTC | SYS-PROBE | INFO | (pkg/config/setup/config.go:1518 in LoadProxyFromEnv) | Loading proxy settings
2024-08-27 17:16:18 UTC | SYS-PROBE | DEBUG | (pkg/config/setup/config.go:1573 in LoadProxyFromEnv) | 'use_proxy_for_cloud_metadata' is enabled: adding cloud provider URL to the no_proxy list
2024-08-27 17:16:18 UTC | SYS-PROBE | DEBUG | (pkg/config/setup/config.go:1767 in useHostEtc) | '/host/etc' folder detected but HOST_ETC is already set to '/host/etc', leaving it untouched
2024-08-27 17:16:18 UTC | SYS-PROBE | DEBUG | (pkg/config/setup/config.go:1900 in setupFipsEndpoints) | FIPS mode is disabled
2024-08-27 17:16:18 UTC | SYS-PROBE | INFO | (pkg/config/env/environment_detection.go:124 in DetectFeatures) | 1 Features detected from environment: kubernetes
2024-08-27 17:16:18 UTC | SYS-PROBE | DEBUG | (pkg/util/grpc/agent_client.go:43 in getGRPCClientConn) | attempting to create grpc agent client connection to: localhost:5001
2024-08-27 17:16:18 UTC | SYS-PROBE | DEBUG | (pkg/util/grpc/agent_client.go:76 in GetDDAgentSecureClient) | grpc agent secure client created
2024-08-27 17:16:18 UTC | SYS-PROBE | INFO | (pkg/config/remote/client/client.go:389 in pollLoop) | retrying the first update of remote-config state (rpc error: code = Unavailable desc = connection error: desc = "transport: Error while dialing: dial tcp [::1]:5001: connect: connection refused")
2024-08-27 17:16:18 UTC | SYS-PROBE | DEBUG | (automaxprocs@v1.5.3/maxprocs/maxprocs.go:47 in log) | maxprocs: Leaving GOMAXPROCS=12: CPU quota undefined
2024-08-27 17:16:18 UTC | SYS-PROBE | INFO | (pkg/runtime/runtime.go:28 in func1) | runtime: set GOMAXPROCS to: 12
2024-08-27 17:16:18 UTC | SYS-PROBE | INFO | (cmd/system-probe/subcommands/run/command.go:302 in startSystemProbe) | starting system-probe v7.55.2
2024-08-27 17:16:18 UTC | SYS-PROBE | INFO | (cmd/system-probe/subcommands/run/command.go:408 in logUserAndGroupID) | current user id/name: 0/root
2024-08-27 17:16:18 UTC | SYS-PROBE | INFO | (cmd/system-probe/subcommands/run/command.go:411 in logUserAndGroupID) | current group id/name: 0/root
2024-08-27 17:16:18 UTC | SYS-PROBE | DEBUG | (pkg/process/net/uds.go:72 in NewListener) | uds: /var/run/sysprobe/sysprobe.sock successfully initialized
2024-08-27 17:16:18 UTC | SYS-PROBE | INFO | (cmd/system-probe/api/module/loader.go:69 in Register) | module ebpf disabled
2024-08-27 17:16:18 UTC | SYS-PROBE | INFO | (cmd/system-probe/api/module/loader.go:69 in Register) | module tcp_queue_length_tracer disabled
2024-08-27 17:16:18 UTC | SYS-PROBE | INFO | (cmd/system-probe/api/module/loader.go:69 in Register) | module oom_kill_probe disabled
2024-08-27 17:16:18 UTC | SYS-PROBE | INFO | (cmd/system-probe/api/module/loader.go:69 in Register) | module process disabled
2024-08-27 17:16:18 UTC | SYS-PROBE | INFO | (cmd/system-probe/api/module/loader.go:69 in Register) | module dynamic_instrumentation disabled
2024-08-27 17:16:18 UTC | SYS-PROBE | INFO | (cmd/system-probe/api/module/loader.go:69 in Register) | module language_detection disabled
2024-08-27 17:16:18 UTC | SYS-PROBE | INFO | (cmd/system-probe/api/module/loader.go:69 in Register) | module compliance disabled
2024-08-27 17:16:18 UTC | SYS-PROBE | INFO | (cmd/system-probe/api/module/loader.go:69 in Register) | module ping disabled
