2024-08-27 17:16:20 UTC | TRACE | INFO | (pkg/util/log/log.go:826 in func1) | Starting to load the configuration
2024-08-27 17:16:20 UTC | TRACE | INFO | (pkg/util/log/log.go:826 in func1) | Loading proxy settings
2024-08-27 17:16:20 UTC | TRACE | DEBUG | (pkg/util/log/log.go:791 in func1) | 'use_proxy_for_cloud_metadata' is enabled: adding cloud provider URL to the no_proxy list
2024-08-27 17:16:20 UTC | TRACE | INFO | (pkg/util/log/log.go:826 in func1) | Starting to resolve secrets
2024-08-27 17:16:20 UTC | TRACE | WARN | (pkg/util/log/log.go:871 in func1) | Agent configuration relax permissions constraint on the secret backend cmd, Group can read and exec
2024-08-27 17:16:20 UTC | TRACE | INFO | (pkg/util/log/log.go:826 in func1) | Finished resolving secrets
2024-08-27 17:16:20 UTC | TRACE | DEBUG | (pkg/util/log/log.go:786 in func1) | FIPS mode is disabled
2024-08-27 17:16:20 UTC | TRACE | INFO | (pkg/util/log/log.go:831 in func1) | 3 Features detected from environment: kubernetes,cri,containerd
2024-08-27 17:16:20 UTC | TRACE | DEBUG | (pkg/util/log/log.go:791 in func1) | attempting to create grpc agent client connection to: localhost:5001
2024-08-27 17:16:20 UTC | TRACE | DEBUG | (pkg/util/log/log.go:786 in func1) | grpc agent secure client created
2024-08-27 17:16:20 UTC | TRACE | INFO | (pkg/util/log/log.go:831 in func1) | Loaded configuration: /etc/datadog-agent/datadog.yaml
2024-08-27 17:16:20 UTC | TRACE | DEBUG | (pkg/util/log/log.go:791 in func1) | Setting DefaultEnv to "kind-testing" (from `env:` entry under the 'tags' config option: "env:kind-testing")
2024-08-27 17:16:20 UTC | TRACE | DEBUG | (pkg/util/log/log.go:791 in func1) | attempting to create grpc agent client connection to: localhost:5001
2024-08-27 17:16:20 UTC | TRACE | INFO | (pkg/util/log/log.go:831 in func1) | Could not get hostname via gRPC: context deadline exceeded. Falling back to other methods.
2024-08-27 17:16:20 UTC | TRACE | INFO | (pkg/util/log/log.go:831 in func1) | Acquired hostname from core agent (/opt/datadog-agent/bin/agent/agent): "local-worker2-ccdaniele-kind".
