File path                                          | mode  | owner      | group      | error     |
---------------------------------------------------------------------------------------------------
/opt/datadog-agent/embedded/share/system-probe/ebpf/tracer-debug.o | -rw-r--r-- | root       | root       |           |
/etc/datadog-agent/conf.d/kubelet.d/conf.yaml.default | -rw-r--r-- | root       | root       |           |
/etc/datadog-agent/conf.d/snmp.d/default_profiles/_juniper-firewall.yaml | -rw-r--r-- | root       | root       |           |
/etc/datadog-agent/conf.d/snmp.d/default_profiles/a10-thunder.yaml | -rw-r--r-- | root       | root       |           |
/etc/datadog-agent/conf.d/snmp.d/default_profiles/chrysalis-luna-hsm.yaml | -rw-r--r-- | root       | root       |           |
/etc/datadog-agent/conf.d/snmp.d/default_profiles/netapp.yaml | -rw-r--r-- | root       | root       |           |
/etc/datadog-agent/conf.d/snmp.d/default_profiles/tripplite-pdu.yaml | -rw-r--r-- | root       | root       |           |
/opt/datadog-agent/embedded/share/system-probe/ebpf/COPYING | -rw-r--r-- | root       | root       |           |
/etc/datadog-agent/conf.d/snmp.d/default_profiles/ubiquiti-unifi-security-gateway.yaml | -rw-r--r-- | root       | root       |           |
/etc/datadog-agent/conf.d/datadog_cluster_agent.d/auto_conf.yaml | -rw-r--r-- | root       | root       |           |
/etc/datadog-agent/conf.d/snmp.d/default_profiles/alcatel-lucent-ent.yaml | -rw-r--r-- | root       | root       |           |
/etc/datadog-agent/conf.d/snmp.d/default_profiles/avaya.yaml | -rw-r--r-- | root       | root       |           |
/etc/datadog-agent/conf.d/snmp.d/default_profiles/bluecat-server.yaml | -rw-r--r-- | root       | root       |           |
/etc/datadog-agent/conf.d/snmp.d/default_profiles/chatsworth_pdu.yaml | -rw-r--r-- | root       | root       |           |
/etc/datadog-agent/conf.d/apache.d/auto_conf.yaml  | -rw-r--r-- | root       | root       |           |
/opt/datadog-agent/embedded/share/system-probe/ebpf/co-re/tracer-fentry.o | -rw-r--r-- | root       | root       |           |
/etc/datadog-agent/conf.d/snmp.d/default_profiles/a10.yaml | -rw-r--r-- | root       | root       |           |
/etc/datadog-agent/conf.d/snmp.d/default_profiles/checkpoint-firewall.yaml | -rw-r--r-- | root       | root       |           |
